run,feature,domain_importance,source_mean_abs_shap,prevalence_shift,pruned_v2
gram|F68R,R_body_length,0.004602419430050045,0.022697363994356526,0.0,False
gram|F68R,R_hostname_length,0.008331021776275815,0.045126636749896074,0.0,False
gram|F68R,R_path_length,0.008335719367088976,0.013889917540617488,0.0,False
gram|F68R,R_query_length,0.01873320240137718,0.0023702912590199523,0.0,False
gram|F68R,R_fragment_length,0.01389922499245252,0.00550955454422223,0.0,False
gram|F68R,R_body_token_count,0.0025533024242405055,0.003072549735499871,0.0,False
gram|F68R,R_body_avg_token_length,0.003793708309940185,0.04475141574597908,0.0,False
gram|F68R,R_query_param_count,0.003710366818367057,0.0025155273499489835,0.0,False
gram|F68R,R_body_digit_count,0.008193793264948032,0.0392853292262066,0.0,False
gram|F68R,R_body_digit_ratio,0.003946799572165101,0.00929208628552557,0.0,False
gram|F68R,R_body_alphabet_ratio,0.003187460885872786,0.011532620218797288,0.0,False
gram|F68R,R_body_special_count,0.007551822869980942,0.004509176370052986,0.0,False
gram|F68R,R_body_special_ratio,0.0036334556431637656,0.007736187328859492,0.0,False
gram|F68R,R_body_dot_count,0.023946416204889454,0.0623293142663733,0.0,False
gram|F68R,R_body_hyphen_count,0.01064448653156901,0.022667908002806485,0.0,False
gram|F68R,R_body_underscore_count,0.006030651415675925,0.006737860500925105,0.0,False
gram|F68R,R_path_slash_count,0.017203605737855024,0.010923878209607826,0.0,False
gram|F68R,R_body_entropy,0.004501634966086481,0.0745835409310368,0.0,False
gram|F68R,R_host_entropy,0.004924441422333897,0.013986365515427437,0.0,False
gram|F68R,R_host_label_count,0.0051385645778901645,0.026655181947814164,0.0,False
gram|F68R,R_subdomain_depth,0.10947132265600115,0.04921576863057523,0.0,False
gram|F68R,R_longest_host_token,0.00439490493912704,0.004102761254662457,0.0,False
gram|F68R,R_host_token_length_variance,0.01001386197325563,0.017538382018585177,0.0,False
gram|F68R,R_numeric_host_ratio,0.005099023883132258,0.0018110575643626075,0.0,False
gram|F68R,R_host_digit_count,0.015165417569038884,0.03446382828761724,0.0,False
gram|F68R,R_host_alpha_ratio,0.004460649324431941,0.015488040662041002,0.0,False
gram|F68R,R_path_depth,0.015423042799710667,0.031167656139615335,0.0,False
gram|F68R,R_path_segment_count,0.0,0.0026418743990652047,0.0,False
gram|F68R,R_fragment_present,0.0,0.004882801619357472,0.01668730379811886,False
gram|F68R,R_explicit_port,0.0011876947770474151,0.0,0.0005647466730024123,False
gram|F68R,R_non_default_port,0.0,0.0,0.00015183413753386583,False
gram|F68R,R_double_slash_path,0.0,5.750210694235078e-05,0.0005826843348922479,False
gram|F68R,R_at_symbol_present,0.005282739358266312,0.006334040770764331,0.006622380510637511,False
gram|F68R,R_body_delimiter_density,0.0031835463044720307,0.00452720519285965,0.0,False
