run,stratum,n,share_pct,error_rate,lr_stat,p_unadj,coef_ERS,note,p_holm,significant_holm_0.05
gram|F48,protocol_shift,126,10.5,0.42857142857142855,13.123093536962529,0.00029167801446676407,1.5182370995578343,,0.00029167801446676407,True
gram|F48,path_structure_shift,422,35.166666666666664,0.4834123222748815,26.834822944493,2.2160788456678867e-07,1.145938429546104,,4.4321576913357733e-07,True
gram|F48,lexicon_shift,16,1.3333333333333333,0.25,,,,stratum too small or degenerate,,False
gram|F60R,protocol_shift,126,10.5,0.42063492063492064,23.348537776793222,1.3514620728967573e-06,2.037024520131242,,1.3514620728967573e-06,True
gram|F60R,path_structure_shift,422,35.166666666666664,0.4834123222748815,51.669291465459764,6.568207904631312e-13,1.7640113696330453,,1.3136415809262623e-12,True
gram|F60R,lexicon_shift,16,1.3333333333333333,0.1875,,,,stratum too small or degenerate,,False
gram|F68R,protocol_shift,126,10.5,0.4126984126984127,12.943586429804924,0.0003210194081226483,1.3990770309607161,,0.0003866165852292252,True
gram|F68R,path_structure_shift,422,35.166666666666664,0.476303317535545,13.895036514660774,0.0001933082926146126,0.7265904129703329,,0.0003866165852292252,True
gram|F68R,lexicon_shift,16,1.3333333333333333,0.1875,,,,stratum too small or degenerate,,False
phresh|F48,protocol_shift,584,48.666666666666664,0.3904109589041096,0.38294405805982024,0.5360318226269966,-0.11299719745616411,,0.5360318226269966,False
phresh|F48,path_structure_shift,153,12.75,0.5620915032679739,13.135938081579752,0.00028968519864636826,-1.265422446960532,,0.0008690555959391048,True
phresh|F48,lexicon_shift,274,22.833333333333332,0.19343065693430658,2.796788027436378,0.09445335132957279,-0.6509998223052144,,0.18890670265914558,False
phresh|F60R,protocol_shift,584,48.666666666666664,0.3904109589041096,0.6177090556537905,0.431899891307039,0.21591781315017564,,0.431899891307039,False
phresh|F60R,path_structure_shift,153,12.75,0.5686274509803921,8.481596540414728,0.0035875711766218074,1.629102758938636,,0.010762713529865423,True
phresh|F60R,lexicon_shift,274,22.833333333333332,0.2116788321167883,5.674622410004247,0.017212043948450755,-1.2783661144574048,,0.03442408789690151,True
phresh|F68R,protocol_shift,584,48.666666666666664,0.3458904109589041,0.07646006178333664,0.7821532115939785,-0.07942955942737784,,1.0,False
phresh|F68R,path_structure_shift,153,12.75,0.48366013071895425,0.0015347121830870947,0.9687505443152286,0.02492532321034611,,1.0,False
phresh|F68R,lexicon_shift,274,22.833333333333332,0.15328467153284672,14.11293365853686,0.00017215598343945588,-2.30705297620544,,0.0005164679503183677,True
